#{"t_start": 1659450764.2134523, "env_id": null}
r,l,t,fractional_success
1.041345,834,21.006278,0.0
1.09635,834,42.923723,0.0
1.721652,834,63.754752,0.0
1.285449,834,83.954731,0.0
1.407308,834,104.224041,0.0
1.318773,834,125.289695,0.0
1.708627,834,148.069224,0.0
1.505639,834,170.000843,0.0
1.468022,834,191.784989,0.0
-0.438111,834,212.816561,0.0
1.709695,834,233.975036,0.0
1.458832,834,256.84836,0.0
0.277508,834,278.484805,0.0
1.752789,834,300.975711,0.0
1.436088,834,322.951516,0.0
1.356203,834,345.394421,0.0
1.45456,834,366.86261,0.0
1.564864,834,390.929181,0.0
1.877581,834,414.155111,0.0
1.54177,834,437.187275,0.0
1.665236,834,458.129948,0.0
2.129838,834,478.962862,0.0
1.920284,834,500.837619,0.0
1.420154,834,521.467684,0.0
1.246618,834,543.021424,0.0
1.410119,834,564.035241,0.0
2.073623,834,584.60262,0.0
2.218801,834,603.509753,0.0
1.663178,834,624.501889,0.0
1.629478,834,644.144541,0.0
1.915863,834,666.348862,0.0
1.706649,834,688.811359,0.0
1.8015,834,710.326652,0.0
1.710756,834,732.59532,0.0
2.085092,834,753.922028,0.0
1.961214,834,779.515259,0.0
1.865486,834,802.700134,0.0
1.787172,834,825.127796,0.0
1.437682,834,846.168993,0.0
2.168877,834,868.10324,0.0
2.125694,834,887.827759,0.0
1.791977,834,909.144289,0.0
1.981318,834,930.434891,0.0
1.619739,834,951.914299,0.0
1.579558,834,972.508704,0.0
1.559313,834,995.54061,0.0
1.654655,834,1015.872817,0.0
1.490761,834,1038.528244,0.0
1.62494,834,1060.359818,0.0
1.418712,834,1081.161074,0.0
1.607427,834,1104.249569,0.0
1.566978,834,1124.630666,0.0
1.574929,834,1145.292846,0.0
1.540875,834,1169.860784,0.0
1.673837,834,1191.315787,0.0
1.70577,834,1214.82604,0.0
1.720281,834,1238.360085,0.0
1.602044,834,1263.256185,0.0
1.757848,834,1285.963394,0.0
1.592892,834,1310.857846,0.0
1.80819,834,1337.362502,0.0
1.741575,834,1362.20974,0.0
1.787496,834,1385.64552,0.0
1.754455,834,1408.766021,0.0
1.787193,834,1429.614618,0.0
1.596415,834,1452.768618,0.0
1.688247,834,1476.315132,0.0
1.703271,834,1504.722014,0.0
1.983478,834,1532.776653,0.0
1.791919,834,1560.097743,0.0
1.796371,834,1585.008272,0.0
2.141206,834,1606.882,0.0
1.788085,834,1629.293717,0.0
1.698931,834,1653.6929,0.0
1.809578,834,1677.007607,0.0
1.559432,834,1699.752328,0.0
1.685899,834,1721.388739,0.0
2.148679,834,1744.346884,0.0
1.889194,834,1767.245964,0.0
1.570268,834,1790.07945,0.0
1.543274,834,1818.674801,0.0
2.368831,834,1852.907185,0.0
2.295067,834,1875.739945,0.0
2.178378,834,1898.366383,0.0
2.103655,834,1920.406951,0.0
1.952787,834,1942.077677,0.0
1.639049,834,1965.96328,0.0
2.043277,834,1990.087376,0.0
1.605072,834,2012.640689,0.0
2.182871,834,2033.235441,0.0
1.666845,834,2056.486889,0.0
2.134199,834,2079.083926,0.0
1.952633,834,2107.079871,0.0
1.848203,834,2132.748448,0.0
1.599534,834,2156.989705,0.0
2.175211,834,2181.768072,0.0
1.861599,834,2205.281327,0.0
1.782822,834,2230.238576,0.0
2.260835,834,2253.997622,0.0
1.547571,834,2277.393836,0.0
2.009527,834,2303.226215,0.0
2.004891,834,2325.944024,0.0
1.703627,834,2350.566222,0.0
2.170826,834,2374.898403,0.0
2.233553,834,2399.725745,0.0
2.043996,834,2428.449601,0.0
1.830737,834,2451.856472,0.0
2.029472,834,2475.220181,0.0
1.929846,834,2498.609349,0.0
2.083521,834,2522.145972,0.0
1.944897,834,2546.284382,0.0
2.214797,834,2570.248821,0.0
2.229911,834,2594.335017,0.0
2.077895,834,2615.774101,0.0
1.938109,834,2639.332906,0.0
1.721843,834,2662.915829,0.0
2.076673,834,2687.51651,0.0
1.843331,834,2711.952633,0.0
1.537581,834,2735.75349,0.0
2.263533,834,2761.723559,0.0
2.101133,834,2785.410996,0.0
2.092412,834,2809.513448,0.0
2.049519,834,2833.072906,0.0
2.302556,834,2857.584708,0.0
2.231469,834,2881.375846,0.0
1.697524,834,2906.005893,0.0
1.974646,834,2927.795568,0.0
1.953508,834,2950.776779,0.0
1.809268,834,2975.375959,0.0
2.058666,834,2999.206333,0.0
1.617839,834,3025.11431,0.0
2.123869,834,3048.244006,0.0
1.644877,834,3073.195497,0.0
2.120471,834,3098.052748,0.0
1.611302,834,3123.308553,0.0
1.759789,834,3149.995144,0.0
1.804909,834,3174.807886,0.0
1.773179,834,3199.731743,0.0
2.036302,834,3225.489849,0.0
1.485974,834,3249.239744,0.0
1.528841,834,3278.664003,0.0
1.634443,834,3304.508339,0.0
2.126692,834,3337.167267,0.0
1.730405,834,3366.828755,0.0
1.800404,834,3394.483995,0.0
1.478895,834,3420.714911,0.0
1.679327,834,3449.640688,0.0
1.686585,834,3474.919803,0.0
2.037272,834,3502.871493,0.0
2.043068,834,3525.775696,0.0
2.169594,834,3549.874955,0.0
2.177038,834,3574.353895,0.0
1.762923,834,3598.998327,0.0
2.093962,834,3624.46924,0.0
1.436486,834,3650.023247,0.0
1.78562,834,3672.089486,0.0
1.838825,834,3697.793614,0.0
1.703262,834,3721.75652,0.0
1.780957,834,3744.803002,0.0
1.802643,834,3767.099522,0.0
1.716955,834,3789.372415,0.0
2.136479,834,3813.853157,0.0
2.177587,834,3837.360633,0.0
1.705398,834,3863.760122,0.0
1.69498,834,3890.148305,0.0
1.809821,834,3915.524459,0.0
2.008519,834,3938.773344,0.0
1.569181,834,3960.222211,0.0
2.263618,834,3984.569657,0.0
1.856202,834,4007.880008,0.0
1.705081,834,4031.614964,0.0
2.031647,834,4055.267857,0.0
2.07978,834,4078.191475,0.0
2.102772,834,4103.132591,0.0
2.000923,834,4125.05612,0.0
1.874539,834,4150.0868,0.0
2.179905,834,4172.898991,0.0
1.71497,834,4196.658725,0.0
1.663984,834,4218.529411,0.0
1.755077,834,4241.638053,0.0
2.164198,834,4263.597945,0.0
1.493465,834,4286.905013,0.0
